branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
373,1,5,24,3,ecal,2,51,10,1
374,1,5,25,3,ecal,1,51,10,1
375,1,6,1,1,ecal,6,56,10,1
376,1,6,2,1,ecal,7,56,10,1
377,1,6,3,1,ecal,8,56,10,1
378,1,6,4,1,ecal,9,56,10,1
379,1,6,5,1,ecal,10,56,10,1
380,1,6,6,1,ecal,10,57,10,1
381,1,6,7,1,ecal,9,57,10,1
382,1,6,8,1,ecal,8,57,10,1
383,1,6,9,1,ecal,7,57,10,1
384,1,6,10,1,ecal,6,57,10,1
385,1,6,11,1,ecal,6,58,10,1
386,1,6,12,1,ecal,7,58,10,1
387,1,6,13,1,ecal,8,58,10,1
388,1,6,14,1,ecal,9,58,10,1
389,1,6,15,1,ecal,10,58,10,1
390,1,6,16,1,ecal,10,59,10,1
391,1,6,17,1,ecal,9,59,10,1
392,1,6,18,1,ecal,8,59,10,1
393,1,6,19,1,ecal,7,59,10,1
394,1,6,20,1,ecal,6,59,10,1
395,1,6,21,1,ecal,6,60,10,1
396,1,6,22,1,ecal,7,60,10,1
397,1,6,23,1,ecal,8,60,10,1
398,1,6,24,1,ecal,9,60,10,1
399,1,6,25,1,ecal,10,60,10,1
400,1,7,1,-1,unused,-1,-1,10,1
401,1,7,2,-1,mem,4,95,10,1
402,1,7,3,-1,unused,-1,-1,10,1
403,1,7,4,-1,mem,2,95,10,1
404,1,7,5,-1,unused,-1,-1,10,1
405,1,7,6,-1,mem,1,94,10,1
406,1,7,7,-1,unused,-1,-1,10,1
407,1,7,8,-1,mem,3,94,10,1
408,1,7,9,-1,unused,-1,-1,10,1
409,1,7,10,-1,mem,5,94,10,1
410,1,7,11,-1,unused,-1,-1,10,1
411,1,7,12,-1,mem,4,93,10,1
412,1,7,13,-1,unused,-1,-1,10,1
413,1,7,14,-1,mem,2,93,10,1
414,1,7,15,-1,unused,-1,-1,10,1
415,1,7,16,-1,mem,1,92,10,1
416,1,7,17,-1,unused,-1,-1,10,1
417,1,7,18,-1,mem,3,92,10,1
418,1,7,19,-1,unused,-1,-1,10,1
419,1,7,20,-1,mem,5,92,10,1
420,1,7,21,-1,unused,-1,-1,10,1
421,1,7,22,-1,mem,4,91,10,1
422,1,7,23,-1,unused,-1,-1,10,1
423,1,7,24,-1,mem,2,91,10,1
424,1,7,25,-1,mem,1,91,10,1
425,1,8,1,-1,unused,-1,-1,10,1
426,1,8,2,-1,mem,2,96,10,1
427,1,8,3,-1,unused,-1,-1,10,1
428,1,8,4,-1,mem,4,96,10,1
429,1,8,5,-1,unused,-1,-1,10,1
430,1,8,6,-1,mem,5,97,10,1
431,1,8,7,-1,unused,-1,-1,10,1
432,1,8,8,-1,mem,3,97,10,1
433,1,8,9,-1,unused,-1,-1,10,1
434,1,8,10,-1,mem,1,97,10,1
435,1,8,11,-1,unused,-1,-1,10,1
436,1,8,12,-1,mem,2,98,10,1
437,1,8,13,-1,unused,-1,-1,10,1
438,1,8,14,-1,mem,4,98,10,1
439,1,8,15,-1,unused,-1,-1,10,1
440,1,8,16,-1,mem,5,99,10,1
441,1,8,17,-1,unused,-1,-1,10,1
442,1,8,18,-1,mem,3,99,10,1
443,1,8,19,-1,unused,-1,-1,10,1
444,1,8,20,-1,mem,1,99,10,1
445,1,8,21,-1,unused,-1,-1,10,1
446,1,8,22,-1,mem,2,100,10,1
447,1,8,23,-1,unused,-1,-1,10,1
448,1,8,24,-1,mem,4,100,10,1
449,1,8,25,-1,mem,5,100,10,1
